"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:06AMpcajziFnEKniV25fiU","Star Sky","spotify:artist:2qvP9yerCZCS0U1gZU8wYp, spotify:artist:6BF0bXbsdujMSMeFZBGcBq","Two Steps from Hell, Thomas Bergersen","spotify:album:4y7T04fej3MJ8tAe2FeKD5","Battlecry","spotify:artist:2qvP9yerCZCS0U1gZU8wYp","Two Steps from Hell","2015-04-28","https://i.scdn.co/image/ab67616d0000b273149cf6977defe909fd7d34fd","1","24","330579","https://p.scdn.co/mp3-preview/c52e9142b03645def95b97c9504eedfc96b89459?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:rachelchaetx","2022-11-30T15:02:30Z"
"spotify:track:44MZtR8YmIiQjhsZdqg7Vy","Winter Solstice","spotify:artist:58TMKXhoVguPbAO8pnJ8wh","Frostudio Chambersonic","spotify:album:2yYOyNRr9y2W0PxnLxsmgq","Queentessence","spotify:artist:58TMKXhoVguPbAO8pnJ8wh","Frostudio Chambersonic","2021-11-22","https://i.scdn.co/image/ab67616d0000b273d4acfddefde1d41f44253b08","1","8","187017","https://p.scdn.co/mp3-preview/982f49c4319d400db274a02fe3bc8b0e95989f8f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","11","spotify:user:rachelchaetx","2022-11-30T15:02:42Z"
"spotify:track:16frIpnyUb9poRwQxQTmaC","Come With Me","spotify:artist:4ETSs924pXMzjIeD6E9b4u, spotify:artist:3QJUFtGBGL05vo0kCJZsmT","Surfaces, salem ilese","spotify:album:5PrhnVNOKoJC2aLLfabxuB","Pacifico","spotify:artist:4ETSs924pXMzjIeD6E9b4u","Surfaces","2021-06-25","https://i.scdn.co/image/ab67616d0000b27300d5a8ba3fc0f5850b00acdc","1","10","209732","https://p.scdn.co/mp3-preview/1586c864e889737c44a3982dd3059b8628b555b8?cid=9950ac751e34487dbbe027c4fd7f8e99","false","70","spotify:user:rachelchaetx","2022-11-30T15:02:58Z"
"spotify:track:3Hvg5tRKsQlX25wYwgMF9p","Flowers in Your Hair","spotify:artist:16oZKvXb6WkQlVAjwo2Wbg","The Lumineers","spotify:album:6NWYmlHxAME5KXtxrTlUxW","The Lumineers","spotify:artist:16oZKvXb6WkQlVAjwo2Wbg","The Lumineers","2012-04-03","https://i.scdn.co/image/ab67616d0000b2734241433fb84b10663492c0e3","1","1","109735","https://p.scdn.co/mp3-preview/41b6da5699c8923e1b24e9f5b92f9d70a9116433?cid=9950ac751e34487dbbe027c4fd7f8e99","false","69","spotify:user:rachelchaetx","2022-11-30T15:03:07Z"
"spotify:track:5jQI2r1RdgtuT8S3iG8zFC","Lavender Haze","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:151w1FgRZfnKZA9FEcg9Z3","Midnights","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2022-10-21","https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5","1","1","202395","https://p.scdn.co/mp3-preview/9ccfa0ab1f504b1ac2c77af3f69a723527968440?cid=9950ac751e34487dbbe027c4fd7f8e99","true","91","spotify:user:rachelchaetx","2022-11-30T15:03:18Z"
"spotify:track:3bIxTsfeNMO7Nt2J3EUKrA","22","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:1KlU96Hw9nlvqpBPlSqcTV","Red (Deluxe Edition)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2012-10-22","https://i.scdn.co/image/ab67616d0000b273a7613d346501b828b56a0bc3","1","6","230133","https://p.scdn.co/mp3-preview/3f261be9a76c09f313819d2dbe868315450c0e52?cid=9950ac751e34487dbbe027c4fd7f8e99","false","57","spotify:user:rachelchaetx","2022-11-30T15:03:27Z"
"spotify:track:6ufcuVInt0ocHrUimDjGlb","PLASTIC OFF THE SOFA","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","spotify:album:6FJxoadUE4JNVwWHghBwnb","RENAISSANCE","spotify:artist:6vWDO969PvNqNYHIOW5v0m","Beyoncé","2022-07-29","https://i.scdn.co/image/ab67616d0000b2730e58a0f8308c1ad403d105e7","1","8","254319","https://p.scdn.co/mp3-preview/4c2bf398d0a63d624acf6e9b0c7cbc23ae016b98?cid=9950ac751e34487dbbe027c4fd7f8e99","false","73","spotify:user:rachelchaetx","2022-11-30T15:03:46Z"
"spotify:track:4UKG8PwjXeLFbKVzCeU7nD","With You","spotify:artist:2Q1d40J0u4IWGg4oZNPBZ7","Jonathan Ogden","spotify:album:0aT8MMYx6r4tN1W0ipTgOs","Spring","spotify:artist:2Q1d40J0u4IWGg4oZNPBZ7","Jonathan Ogden","2017-05-05","https://i.scdn.co/image/ab67616d0000b27364ca59a5752480c4f5ca3458","1","1","250000","https://p.scdn.co/mp3-preview/6aafbeb82beebeeb9418bfbef9fed09bb0e5f10d?cid=9950ac751e34487dbbe027c4fd7f8e99","false","43","spotify:user:rachelchaetx","2022-11-30T15:03:55Z"
"spotify:track:2ovVwEXwcRYuIfnfJedGnQ","Bad Omens","spotify:artist:5Rl15oVamLq7FbSb0NNBNy","5 Seconds of Summer","spotify:album:26uA5pGrTovBLxikRsMQJ4","5SOS5","spotify:artist:5Rl15oVamLq7FbSb0NNBNy","5 Seconds of Summer","2022-09-23","https://i.scdn.co/image/ab67616d0000b2739aa2026273c9d8cbbac26379","1","3","215734","https://p.scdn.co/mp3-preview/36c95b3305b61ca209f7991466b45fe6a0298918?cid=9950ac751e34487dbbe027c4fd7f8e99","false","72","spotify:user:rachelchaetx","2022-11-30T15:04:47Z"
"spotify:track:5jx8tCxiO0uIbo2uNia23K","The One That Got Away - Acoustic","spotify:artist:6jJ0s89eD6GaHleKKya26X","Katy Perry","spotify:album:5BvgP623rtvlc0HDcpzquz","Teenage Dream: The Complete Confection","spotify:artist:6jJ0s89eD6GaHleKKya26X","Katy Perry","2012-03-12","https://i.scdn.co/image/ab67616d0000b273937af329667311f4b2831616","1","13","259040","https://p.scdn.co/mp3-preview/63aef7c84e039c56181793f7afe13baef349c246?cid=9950ac751e34487dbbe027c4fd7f8e99","false","67","spotify:user:rachelchaetx","2022-11-30T15:05:02Z"
