"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:4xSjIgsYgd36OAK4QZ55Pr","If I Never See Your Face Again","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","spotify:album:29hJ8AFYZU98OzenrMr6iU","It Won't Be Soon Before Long.","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","2007-01-01","https://i.scdn.co/image/ab67616d0000b2739741173cf2b32dab39424538","1","1","201000","https://p.scdn.co/mp3-preview/8eb8fdf42baf8ef7f39fad16112df6f853a29c53?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:e6jg4cxf4zpgtzkhez3g9osuy","2022-11-30T14:52:20Z"
"spotify:track:1lHXlGlve5Zx8tXLhyjDwM","Makes Me Wonder","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","spotify:album:29hJ8AFYZU98OzenrMr6iU","It Won't Be Soon Before Long.","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","2007-01-01","https://i.scdn.co/image/ab67616d0000b2739741173cf2b32dab39424538","1","2","211080","https://p.scdn.co/mp3-preview/0ae414b8b2b7f9b5f5735f60455ea2622cde9fb2?cid=9950ac751e34487dbbe027c4fd7f8e99","true","56","spotify:user:e6jg4cxf4zpgtzkhez3g9osuy","2022-11-30T14:52:20Z"
"spotify:track:3UuylZ8AmrOT4OfjGofTCN","Little Of Your Time","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","spotify:album:29hJ8AFYZU98OzenrMr6iU","It Won't Be Soon Before Long.","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","2007-01-01","https://i.scdn.co/image/ab67616d0000b2739741173cf2b32dab39424538","1","3","137066","https://p.scdn.co/mp3-preview/061664cefd8998d0321334997154fef0aebcf928?cid=9950ac751e34487dbbe027c4fd7f8e99","false","35","spotify:user:e6jg4cxf4zpgtzkhez3g9osuy","2022-11-30T14:52:20Z"
"spotify:track:1zqllQUMCgMaInr0CzFVll","Wake Up Call","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","spotify:album:29hJ8AFYZU98OzenrMr6iU","It Won't Be Soon Before Long.","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","2007-01-01","https://i.scdn.co/image/ab67616d0000b2739741173cf2b32dab39424538","1","4","201306","https://p.scdn.co/mp3-preview/14e90e768e82fdbe9ec17d6fa031e7262c31d339?cid=9950ac751e34487dbbe027c4fd7f8e99","false","53","spotify:user:e6jg4cxf4zpgtzkhez3g9osuy","2022-11-30T14:52:20Z"
"spotify:track:0tuyEYTaqLxE41yGHSsXjy","Won't Go Home Without You","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","spotify:album:29hJ8AFYZU98OzenrMr6iU","It Won't Be Soon Before Long.","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","2007-01-01","https://i.scdn.co/image/ab67616d0000b2739741173cf2b32dab39424538","1","5","231173","https://p.scdn.co/mp3-preview/a60b1098fb38fa3c060c45ecb2f8c58f3fe09d9b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:e6jg4cxf4zpgtzkhez3g9osuy","2022-11-30T14:52:20Z"
"spotify:track:6zaKzSQwWtxqAvBvoubEWo","Nothing Lasts Forever","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","spotify:album:29hJ8AFYZU98OzenrMr6iU","It Won't Be Soon Before Long.","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","2007-01-01","https://i.scdn.co/image/ab67616d0000b2739741173cf2b32dab39424538","1","6","187920","https://p.scdn.co/mp3-preview/0b59896c117f6667936fb45dc42be5bb93c3e5a9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","40","spotify:user:e6jg4cxf4zpgtzkhez3g9osuy","2022-11-30T14:52:20Z"
"spotify:track:6ZXRfraYr0sKNd9TKW5XQx","Can't Stop","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","spotify:album:29hJ8AFYZU98OzenrMr6iU","It Won't Be Soon Before Long.","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","2007-01-01","https://i.scdn.co/image/ab67616d0000b2739741173cf2b32dab39424538","1","7","152813","https://p.scdn.co/mp3-preview/9647b22b00ffaa9171021935023def6dd7220da2?cid=9950ac751e34487dbbe027c4fd7f8e99","false","37","spotify:user:e6jg4cxf4zpgtzkhez3g9osuy","2022-11-30T14:52:20Z"
"spotify:track:0Bw6iiL5mYvq5I8VCaspqG","Goodnight Goodnight","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","spotify:album:29hJ8AFYZU98OzenrMr6iU","It Won't Be Soon Before Long.","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","2007-01-01","https://i.scdn.co/image/ab67616d0000b2739741173cf2b32dab39424538","1","8","243306","https://p.scdn.co/mp3-preview/211a67c0e2ce7c8c3b0e97af8f4ab26eced38b6f?cid=9950ac751e34487dbbe027c4fd7f8e99","false","42","spotify:user:e6jg4cxf4zpgtzkhez3g9osuy","2022-11-30T14:52:20Z"
"spotify:track:6RFxg84B3wA2zUs9RrVOTZ","Not Falling Apart","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","spotify:album:29hJ8AFYZU98OzenrMr6iU","It Won't Be Soon Before Long.","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","2007-01-01","https://i.scdn.co/image/ab67616d0000b2739741173cf2b32dab39424538","1","9","243626","https://p.scdn.co/mp3-preview/9ff182252f1c6a9abebe19dd74ca7fb8c84db1b6?cid=9950ac751e34487dbbe027c4fd7f8e99","false","34","spotify:user:e6jg4cxf4zpgtzkhez3g9osuy","2022-11-30T14:52:20Z"
"spotify:track:2QAcGZOKjrQW0UL1YxO3Aa","Kiwi","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","spotify:album:29hJ8AFYZU98OzenrMr6iU","It Won't Be Soon Before Long.","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","2007-01-01","https://i.scdn.co/image/ab67616d0000b2739741173cf2b32dab39424538","1","10","214546","https://p.scdn.co/mp3-preview/5788b158b607744a99cb5fd667af6336cad5079b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","31","spotify:user:e6jg4cxf4zpgtzkhez3g9osuy","2022-11-30T14:52:20Z"
