"Track URI","Track Name","Artist URI(s)","Artist Name(s)","Album URI","Album Name","Album Artist URI(s)","Album Artist Name(s)","Album Release Date","Album Image URL","Disc Number","Track Number","Track Duration (ms)","Track Preview URL","Explicit","Popularity","Added By","Added At"
"spotify:track:0tuyEYTaqLxE41yGHSsXjy","Won't Go Home Without You","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","spotify:album:29hJ8AFYZU98OzenrMr6iU","It Won't Be Soon Before Long.","spotify:artist:04gDigrS5kc9YWfZHwBETP","Maroon 5","2007-01-01","https://i.scdn.co/image/ab67616d0000b2739741173cf2b32dab39424538","1","5","231173","https://p.scdn.co/mp3-preview/a60b1098fb38fa3c060c45ecb2f8c58f3fe09d9b?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:trudypaintet","2022-11-30T13:45:22Z"
"spotify:track:0boS4e6uXwp3zAvz1mLxZS","Run Boy Run","spotify:artist:44TGR1CzjKBxSHsSEy7bi9","Woodkid","spotify:album:7oRzNo0PkoRJlvI9Eocyf2","The Golden Age","spotify:artist:44TGR1CzjKBxSHsSEy7bi9","Woodkid","2013-01-01","https://i.scdn.co/image/ab67616d0000b273216fa486e2c3e899cacfe6bf","1","2","213266","https://p.scdn.co/mp3-preview/3fd4dde050e86f8d82ba52eede7545c8bb286070?cid=9950ac751e34487dbbe027c4fd7f8e99","false","74","spotify:user:trudypaintet","2022-11-30T13:46:00Z"
"spotify:track:2TjnCxxQRYn56Ye8gkUKiW","Desperado - 2013 Remaster","spotify:artist:0ECwFtbIWEVNwjlrfc6xoL","Eagles","spotify:album:09WBxbis5Sixt01FVMs8UM","Desperado (2013 Remaster)","spotify:artist:0ECwFtbIWEVNwjlrfc6xoL","Eagles","1973","https://i.scdn.co/image/ab67616d0000b2732d73b1bb77cee09f0278be04","1","5","213712","https://p.scdn.co/mp3-preview/951ec7354c5bc2c2d38e6ae4de32759e0cd10082?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","spotify:user:trudypaintet","2022-11-30T13:46:09Z"
"spotify:track:4C6Uex2ILwJi9sZXRdmqXp","Super Freaky Girl","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","spotify:album:0h5MuD9O9o1VoN07mQmwMQ","Super Freaky Girl","spotify:artist:0hCNtLu0JehylgoiP8L4Gh","Nicki Minaj","2022-08-12","https://i.scdn.co/image/ab67616d0000b273c2b3ab9829aefad24fa2c1bc","1","1","170977","https://p.scdn.co/mp3-preview/3d5e6eedb046227d3c1186ffd018314a49c9a2e4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","88","spotify:user:trudypaintet","2022-11-30T13:46:17Z"
"spotify:track:3MnbXlC1N7GdS9M8HzA6no","Facts (Charlie Heat Version)","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","spotify:album:7gsWAHLeT0w7es6FofOXk1","The Life Of Pablo","spotify:artist:5K4W6rqBFWDnAN6FQUkS6x","Kanye West","2016-06-10","https://i.scdn.co/image/ab67616d0000b2732a7db835b912dc5014bd37f4","1","18","200733","https://p.scdn.co/mp3-preview/f860dc594a4fbdbac190f63fcbefa5e272cf25c4?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","spotify:user:trudypaintet","2022-11-30T13:46:25Z"
"spotify:track:6pXGAXMfoi7q7sek9uCFSL","Mastermind","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:4894htPwC6zoiuTqUQwn4I","Midnights (3am Edition)","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2022-10-21","https://i.scdn.co/image/ab67616d0000b2734a97c76d7b4f6530f439c249","1","13","191039","https://p.scdn.co/mp3-preview/989c03f16cb1329015b4012a1918534a23d91ec0?cid=9950ac751e34487dbbe027c4fd7f8e99","false","62","spotify:user:trudypaintet","2022-11-30T13:46:34Z"
"spotify:track:1WMBlpjhd3AUQiNfJOzfIl","Songs I Can't Listen To","spotify:artist:0RpddSzUHfncUWNJXKOsjy","Neon Trees","spotify:album:4X9AjOnXZhUn3qsgmiZ49G","Songs I Can't Listen To","spotify:artist:0RpddSzUHfncUWNJXKOsjy","Neon Trees","2015-05-05","https://i.scdn.co/image/ab67616d0000b2730f82ac98765a5c4757d82c5c","1","1","200626","https://p.scdn.co/mp3-preview/a425071a8c842e915fb682128ea2c42319a71068?cid=9950ac751e34487dbbe027c4fd7f8e99","false","58","spotify:user:trudypaintet","2022-11-30T13:46:44Z"
"spotify:track:6Sq7ltF9Qa7SNFBsV5Cogx","Me Porto Bonito","spotify:artist:4q3ewBCX7sLwd24euuV69X, spotify:artist:37230BxxYs9ksS7OkZw3IU","Bad Bunny, Chencho Corleone","spotify:album:3RQQmkQEvNCY4prGKE6oc5","Un Verano Sin Ti","spotify:artist:4q3ewBCX7sLwd24euuV69X","Bad Bunny","2022-05-06","https://i.scdn.co/image/ab67616d0000b27349d694203245f241a1bcaa72","1","3","178567","https://p.scdn.co/mp3-preview/8513b15fb5b39966d8eccaa7b8c050c7a570e6e8?cid=9950ac751e34487dbbe027c4fd7f8e99","true","95","spotify:user:trudypaintet","2022-11-30T13:46:53Z"
"spotify:track:5jQI2r1RdgtuT8S3iG8zFC","Lavender Haze","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","spotify:album:151w1FgRZfnKZA9FEcg9Z3","Midnights","spotify:artist:06HL4z0CvFAxyc27GXpf02","Taylor Swift","2022-10-21","https://i.scdn.co/image/ab67616d0000b273bb54dde68cd23e2a268ae0f5","1","1","202395","https://p.scdn.co/mp3-preview/9ccfa0ab1f504b1ac2c77af3f69a723527968440?cid=9950ac751e34487dbbe027c4fd7f8e99","true","91","spotify:user:trudypaintet","2022-11-30T13:47:03Z"
"spotify:track:71oM9w2BbJxzTpxzWIE0lw","Caught Their Eyes","spotify:artist:3nFkdlSjzX9mRTtwJOzDYB, spotify:artist:2h93pZq0e7k5yf4dywlkpM","JAY-Z, Frank Ocean","spotify:album:7GoZNNb7Yl74fpk8Z6I2cv","4:44","spotify:artist:3nFkdlSjzX9mRTtwJOzDYB","JAY-Z","2017-07-07","https://i.scdn.co/image/ab67616d0000b2737513c4956ea5552caf02eab6","1","4","206133","https://p.scdn.co/mp3-preview/88387be44844f27f4101b38ef0c824312218a887?cid=9950ac751e34487dbbe027c4fd7f8e99","true","57","spotify:user:trudypaintet","2022-11-30T13:47:13Z"
"spotify:track:05Li25cqWBkWfp82gxORsU","Keeper","spotify:artist:2Q1d40J0u4IWGg4oZNPBZ7","Jonathan Ogden","spotify:album:3dHdl1duPGtYXphNdxXIKZ","Future Forever","spotify:artist:2Q1d40J0u4IWGg4oZNPBZ7","Jonathan Ogden","2022-10-21","https://i.scdn.co/image/ab67616d0000b27374223b9b6e14d6980603d1ac","1","1","181097","https://p.scdn.co/mp3-preview/e4332c1193fd59d7704d85507f708c7935c83204?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:trudypaintet","2022-11-30T13:47:27Z"
"spotify:track:1hJIbOjWpid6LtnozHmzRS","Diamonds","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","spotify:album:5XCBX16KNYsAe7V5hQV9mC","Love Goes","spotify:artist:2wY79sveU1sp5g7SokKOiI","Sam Smith","2020-10-30","https://i.scdn.co/image/ab67616d0000b2730d1f3930676c34a23dbf5c46","1","2","213869","https://p.scdn.co/mp3-preview/431e50a3360c1a68ed645b6b6873d5877791fde9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","68","spotify:user:trudypaintet","2022-11-30T13:47:50Z"
"spotify:track:5UwxpuGHkwiojKDaPC5ZNu","Joha","spotify:artist:3a1tBryiczPAZpgoZN9Rzg","Asake","spotify:album:0lzPMIAYhhUSD2BPT0VQWI","Mr. Money With The Vibe","spotify:artist:3a1tBryiczPAZpgoZN9Rzg","Asake","2022-09-07","https://i.scdn.co/image/ab67616d0000b2731ee6732ccb8f07bd15b33beb","1","7","148000","https://p.scdn.co/mp3-preview/bfd73b5c1000af75c4b7629ce30656a9fa039b20?cid=9950ac751e34487dbbe027c4fd7f8e99","false","71","spotify:user:trudypaintet","2022-11-30T13:48:04Z"
"spotify:track:27a0ydWvFCt4jgl9m61lS1","THAT'S A JOKE","spotify:artist:6fOMl44jA4Sp5b9PpYCkzz","NF","spotify:album:7eQGtkzCgrIWDOe76E9F8t","CLOUDS (THE MIXTAPE)","spotify:artist:6fOMl44jA4Sp5b9PpYCkzz","NF","2021-03-26","https://i.scdn.co/image/ab67616d0000b273e0783b9378aa3857b8a9d24d","1","2","229656","https://p.scdn.co/mp3-preview/c2c26f505ed50e438708db651d9cee94222a0bc9?cid=9950ac751e34487dbbe027c4fd7f8e99","false","64","spotify:user:trudypaintet","2022-11-30T13:48:15Z"
"spotify:track:7kXxpqMNTR0PdvwXZr3j3m","Haul Away Joe","spotify:artist:5k979N1TnPncUyqlXlaRSv","The Longest Johns","spotify:album:0czdThetfLyCdGpAF2dRqR","Between Wind And Water","spotify:artist:5k979N1TnPncUyqlXlaRSv","The Longest Johns","2018-06-07","https://i.scdn.co/image/ab67616d0000b273b2b07d95ac856dfe6011df65","1","1","176500","https://p.scdn.co/mp3-preview/22c9765f0cbc0e47ebc02a5c4de30cce151c0f6a?cid=9950ac751e34487dbbe027c4fd7f8e99","false","45","spotify:user:trudypaintet","2022-11-30T13:48:29Z"
"spotify:track:7iiULg8Kmbnh1vWbh9rnBA","Lotion","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","spotify:album:7o4UsmV37Sg5It2Eb7vHzu","Around the Fur","spotify:artist:6Ghvu1VvMGScGpOUJBAHNH","Deftones","1997-10-27","https://i.scdn.co/image/ab67616d0000b2730b1129853982ea17845d4eb6","1","7","237733","https://p.scdn.co/mp3-preview/4d065b7e3abbc173b855f000ab5db0758c24754a?cid=9950ac751e34487dbbe027c4fd7f8e99","true","58","spotify:user:trudypaintet","2022-11-30T13:48:41Z"
"spotify:track:0AmA8MQue1LBuYZSAdBMsj","Téir Abhaile Riu","spotify:artist:6NWtt9pNOL2Gx7kBykdE5x","Celtic Woman","spotify:album:2SsSLomiMLQDeVfSTXGUi9","Decade. The Songs, The Show, The Traditions, The Classics.","spotify:artist:6NWtt9pNOL2Gx7kBykdE5x","Celtic Woman","2016-01-29","https://i.scdn.co/image/ab67616d0000b27323fbd180834e919600e3fcd5","3","5","244413","https://p.scdn.co/mp3-preview/b57e9e6b02ef45672cd89af6802b1e8b1312b9bd?cid=9950ac751e34487dbbe027c4fd7f8e99","false","55","spotify:user:trudypaintet","2022-11-30T13:48:51Z"
"spotify:track:3Mzo0ZldvnfQE2n2Gq7MNK","Raise Hell","spotify:artist:6IOvhXyk5edbA2DVaeP9Up","Dorothy","spotify:album:2qaST3gWF7UuyMCmfZ6Vc0","Helloween Playlist","spotify:artist:0LyfQWJT6nXafLPZqxe9Of","Various Artists","2020-10-02","https://i.scdn.co/image/ab67616d0000b27318595c65a8b0914b55f82da3","1","33","181868","https://p.scdn.co/mp3-preview/c4d9523e510fbadf3ccccf22302eaf8f70c10ae7?cid=9950ac751e34487dbbe027c4fd7f8e99","false","26","spotify:user:trudypaintet","2022-11-30T13:49:06Z"
"spotify:track:3zE1xP8M8xP0aq4BeLdyrI","Dark is All I See","spotify:artist:2DYDFBqoaBP2i9XrTGpOgF, spotify:artist:6jZl6risV5vg6O83zKSHHs, spotify:artist:5U1eJDpMKZiQustw16e0g2","Naeleck, Oddity, Wasiu","spotify:album:2iYRMLaJ7EHHIT2JN3ftjg","Dark is All I See","spotify:artist:2DYDFBqoaBP2i9XrTGpOgF, spotify:artist:6jZl6risV5vg6O83zKSHHs, spotify:artist:5U1eJDpMKZiQustw16e0g2","Naeleck, Oddity, Wasiu","2021-10-29","https://i.scdn.co/image/ab67616d0000b27360cc262c0970edfc414df17d","1","1","258461","https://p.scdn.co/mp3-preview/9b5c9481418cb0f7da2701e16d3f3684b98c04fe?cid=9950ac751e34487dbbe027c4fd7f8e99","false","52","spotify:user:trudypaintet","2022-11-30T13:49:20Z"
"spotify:track:266Vb7ItE3o1q8HdJ9QOvn","Verbatim","spotify:artist:0e86yPdC41PGRkLp2Q1Bph","Mother Mother","spotify:album:40DMb38Z4n5ylfz4n29qt0","Touch Up","spotify:artist:0e86yPdC41PGRkLp2Q1Bph","Mother Mother","2007-05-08","https://i.scdn.co/image/ab67616d0000b2734f2dc51d1c8453753af90ad0","1","8","168320","https://p.scdn.co/mp3-preview/fea373245ffd0829fdd9a5d54928ffab7101f8f7?cid=9950ac751e34487dbbe027c4fd7f8e99","true","76","spotify:user:trudypaintet","2022-11-30T13:49:44Z"
